,128KB,256KB,512KB,1MB
GemsFDTD,1.22136696947225,1.1826666888874435,1.1578947862324493,1.1468411257154405
astar,2.159352642640379,2.000656367165605,1.8179231883199387,1.4899069098630395
bc.kron,2.8328466143877664,2.822231510703098,2.794586353114225,2.6619792210297013
bc.road,1.4131117272060072,1.3321608129647344,1.1506507086247466,1.0084652508477658
bc.twitter,2.6525444825061006,2.6027795964991434,2.53344615050399,2.347420001164593
bc.urand,2.8688862458443247,2.853341074398696,2.8216713945855667,2.7036563293396374
bc.web,1.297800378563993,1.2393696664785465,1.205926633470835,1.1880322294396748
bfs.kron,2.3828217415049195,2.3714929147927064,2.323359688530989,2.1768551806667777
bfs.road,1.3429071899478218,1.2270274159758183,1.0304009645020427,1.0032412327427795
bfs.twitter,2.241266700176335,2.2210145562531927,2.151157116866797,1.8609926503478378
bfs.urand,2.7362504987176974,2.708737995714852,2.6473989356094143,2.470076181653983
bfs.web,1.1847142641426265,1.1670973221580312,1.1554888252022217,1.1394415382170269
bwaves,1.0300246469391858,1.0321761464898125,1.0238021595394717,1.0258448923326686
bzip2,1.0065894701522105,1.0065894701522105,1.0065894701522105,1.0065894701522105
cactusADM,1.0205361884086799,1.0181572137295691,1.0153544185012,1.0165601478365567
gcc,1.1769509206154358,1.1558121923061315,1.0807843775710988,1.0006499376226574
h264ref,1.0036626005964742,1.009163094626958,1.009163094626958,1.009163094626958
lbm,1.0216241238052823,1.0229431129928261,1.0219393806976325,1.0219769392390503
leslie3d,1.028120813127523,1.021151903995848,1.0118032999995874,1.0089916160884684
libquantum,1.0290114832005144,1.0322334563563458,1.0180543316614856,1.0012276012448391
mcf,1.2287380366128595,1.1709425647589362,1.1399871108115032,1.1143280326046898
milc,1.1300164463519802,1.1287870716972785,1.1273400311710653,1.1277586004543858
mix1,1.2305973760971078,1.1881852428352802,1.18810872323449,1.1685815097251835
mix2,1.3508467271945404,1.2694075978284234,1.1726856838632416,1.0969425736111607
omnetpp,2.253435535031749,2.228400461387901,2.128435265567305,1.584939661066256
pr.kron,2.779059571479275,2.759226415479204,2.712118904369881,2.5987432657845626
pr.road,1.031874306922917,1.031874306922917,1.031874306922917,1.031874306922917
pr.twitter,2.4765979814419037,2.282264726224698,1.9399994775347975,1.4266488219792839
pr.urand,2.8398431034425387,2.8105386187347974,2.7509673598878415,2.6373113136617583
pr.web,1.0829332810363665,1.057974102123374,1.0454292953938134,1.0363016137931265
RAND,2.9687950770025826,2.9376342529071025,2.8752691057992656,2.7518290794559217
STREAM,1.0312497031259202,1.0312498031256103,1.0312498031256103,1.0312498031256103
sjeng,2.6981581132757824,2.531916158240522,2.2415138597748414,1.7475555362082014
soplex,1.0352654482343988,1.0242621207374645,1.0092594674764217,1.0031200049420703
sphinx3,1.0552392732059477,1.0220421102309916,1.0058065487593524,1.0062072243799374
xalancbmk,1.4445958943377184,1.429182559705721,1.3880277280404636,1.088343648394262
zeusmp,1.2058838545277768,1.177382027806026,1.1382582935970729,1.1345449361495261
AVERAGE,1.6619870116561324,1.6245425041456167,1.5649655741525066,1.456059229254879
SPEC-RATE,1.3193651366964527,1.2885813734037552,1.2412187118055586,1.1408082988289565
SPEC-MIX,1.2907220516458242,1.2287964203318518,1.180397203548866,1.132762041668172
GAP,2.07756387248804,2.032475402361587,1.9529650743413385,1.819402609172762
