,misses,hits,miss_rate
GemsFDTD,36058220,25870387,0.5822546597891343
omnetpp,97791110,38595203,0.7170155703233946
soplex,46923308,32555197,0.5903899173745153
mcf,101876767,47682565,0.6811796070338159
lbm,42363138,13844880,0.7536849635936282
libquantum,39021956,554996,0.9859767877020948
milc,51395692,23388450,0.6872538833165994
leslie3d,44776023,22388899,0.6666578575048445
sphinx3,20697672,3079766,0.8704752799691876
astar,55693823,36809868,0.6020713595093194
h264ref,1397610,2763004,0.335914362639745
sjeng,731345,696065,0.512358047092286
cactusADM,17038566,4266582,0.7997393869312712
zeusmp,9722253,5375324,0.6439611468780719
bwaves,36919948,5970124,0.860804057405173
gcc,129522058,4183469,0.9687113233546434
bzip2,3034611,6735131,0.31061321783113616
xalancbmk,37589209,4159547,0.9003671630359477
mix4,,,
mix5,,,
bfs.road,89512368,32935435,0.7310246962944692
bfs.web,17378581,3397772,0.836459651989933
bfs.kron,126397474,27525022,0.8211760937140729
bfs.urand,131006859,25783004,0.8355569454129824
bfs.twitter,139861471,15488474,0.9002994561729648
bc.road,120565512,37674869,0.7619136862416933
bc.web,9567681,3392199,0.7382538264243187
bc.kron,106897922,15921014,0.8703700380534155
bc.urand,99403675,11957075,0.8926275640205369
bc.twitter,74664510,38396092,0.6603937063770454
pr.road,35366550,11879633,0.7485588835821932
pr.web,28783202,10640150,0.7301053954011826
pr.kron,244261187,9079630,0.9641604139928229
pr.urand,251681238,3300811,0.9870547318411422
pr.twitter,,,
