,miss,hit,total,miss_rate
GemsFDTD,6316535,51257813,57574348,0.10971092542810906
omnetpp,61060268,36022535,97082803,0.6289504022664034
soplex,1015388,60736896,61752284,0.016442922175963565
mcf,14218354,113505377,127723731,0.111321160826409
lbm,546098,53760463,54306561,0.010055838372825707
libquantum,609375,38375505,38984880,0.01563106004173926
milc,4782689,68179629,72962318,0.06555012410652852
leslie3d,768132,58556114,59324246,0.012948028028877097
sphinx3,572164,21405142,21977306,0.02603431011972077
astar,52351282,38691140,91042422,0.5750207524136386
wrf,6264,156379,162643,0.038513800163548384
h264ref,8038,2216043,2224081,0.0036140770052889262
sjeng,1010773,181503,1192276,0.847767630984772
cactusADM,185484,20582139,20767623,0.008931402500902486
zeusmp,1445675,12365800,13811475,0.10467202091014899
bwaves,554545,40192315,40746860,0.013609514941764838
gcc,11264898,118245878,129510776,0.0869803915003953
bzip2,7120,4723678,4730798,0.0015050314978572326
xalancbmk,8514482,29762691,38277173,0.22244281206451688
mix4,,,,
mix5,,,,
bfs.road,19526446,94395696,113922142,0.17140167536526832
bfs.web,1750091,17388443,19138534,0.09144331535529315
bfs.kron,104084860,46752274,150837134,0.6900479824815552
bfs.urand,134472725,20199824,154672549,0.8694026565761194
bfs.twitter,89932512,55462552,145395064,0.6185389622305197
bc.road,32346944,125066264,157413208,0.20549065997054072
bc.web,1780585,10344408,12124993,0.1468524559148199
bc.kron,110165467,10092789,120258256,0.9160740448456196
bc.urand,103768135,7261883,111030018,0.9345953181778283
bc.twitter,92630301,19304348,111934649,0.8275391206167091
pr.road,551341,43516245,44067586,0.012511259409580547
pr.web,1138879,28040170,29179049,0.03903071001388702
pr.kron,217916391,26876579,244792970,0.890206900140964
pr.urand,232161255,19942082,252103337,0.9208971914560575
pr.twitter,164499988,58925122,223425110,0.7362645496739377
