,Base,Metadata Cache (256KB),Metadata Cache (1MB),Attache (368KB COPR),Ideal
GemsFDTD,16.471083421004767,22.44881204141045,22.797890416144302,23.537503479633784,23.5154600792928
omnetpp,24.19746432776429,27.60133023901132,30.145551250412804,33.06913021580676,32.98262107385272
soplex,12.60391488701041,15.484211487297861,15.599613594783131,15.634559877448474,15.62236251256353
mcf,21.521495344133115,24.826586711120978,25.01698852605611,24.18546284814533,25.65170675450167
lbm,12.085819107377423,12.094702057012915,12.091718452830268,12.082594720574791,12.10495024977329
libquantum,10.005885612678787,10.006395122566905,10.003853191811658,10.00080922877697,10.00384707146265
milc,11.898638990004763,12.401586935883682,12.39647157374491,12.157720278073546,12.487002794882304
leslie3d,13.046392025487753,13.794740842327592,13.763897861824205,13.551510412045728,13.837922608321202
sphinx3,13.867128451771691,14.475979215951043,14.445906702440675,14.430339639049514,14.441332635166672
astar,17.938014732304428,16.605389811584597,17.961086093287005,17.898626023631078,18.73271529921385
h264ref,5.557847693394873,5.874353649095876,5.874353649095876,5.885588899389103,5.904407019918327
sjeng,4.527638082626303,4.478788047162409,4.541440935579771,4.582094794240089,4.587810771634536
cactusADM,14.168677002774793,16.417026333640212,16.42843624040595,16.37266033329834,16.486584002431382
zeusmp,10.923569191188006,12.609833197424082,12.762065162122438,12.868700524930972,12.847061953364362
bwaves,16.737128604220096,21.445492336000463,21.434678698454018,21.385209529969327,21.532096455634726
gcc,18.15999044286536,22.109750644865734,22.546839661160657,22.523051549277323,22.530593510817074
bzip2,10.053091657824213,10.38714472152159,10.38714472152159,10.30987855376157,10.351173587076682
xalancbmk,15.144319551004118,17.034820664336877,17.257782173727723,15.743307800521904,17.321588587001983
mix1,12.594466897372818,14.519926109442439,14.530552272442556,14.560944330219307,14.65093373300125
mix2,14.027282715329356,14.64421647229511,14.87209173930205,14.38033540893816,14.94382178475106
bfs.road,17.798820079794307,20.145514669098663,20.760901224851043,19.934660866704817,20.79018173260661
bfs.web,12.512593957794794,13.762840836662214,13.764886665704626,13.396203897371349,13.858035584233921
bfs.kron,19.996092844151395,20.074148423336514,21.561294104958662,28.58208378698999,28.550214317502956
bfs.urand,21.632954234169556,20.231207781982896,21.290228772846458,23.53061971903872,24.79373464631659
bfs.twitter,22.348374438124495,24.410872339422387,26.76517398346396,32.11956967362783,32.20271467006046
bc.road,20.367430317679094,27.693830327030074,30.045696755778984,30.120006546900974,30.12133604311068
bc.web,13.749633978393323,16.58141401664548,16.753680583917713,16.939494295720767,16.966066364675257
bc.kron,22.566530196895833,20.99638847503333,22.17450188083849,35.626537690235985,35.61973521074202
bc.urand,22.76006886445252,21.08449146428645,22.103430988837236,35.36845188469415,35.370576879012326
bc.twitter,21.102417327913486,20.097473715365798,21.974052266701317,32.30740192552993,32.32469511594512
pr.road,12.257026229480138,13.181672251503356,13.181672251503356,12.757921625293845,13.197725421043142
pr.web,12.16753364844956,13.077611223465347,13.079650589098792,12.837198011530266,13.111794875666424
pr.kron,26.968138693344336,26.850041598162623,27.07788065772026,26.938177254309473,29.516171473704322
pr.urand,27.10447572677634,26.84232769757811,26.87437257333555,27.06456929956065,27.103664293660874
pr.twitter,26.18352396576975,26.36205426386073,27.28879928140488,26.212250727957006,28.432709411072405
RAND,26.248166919459045,20.773346209019888,21.535671395233198,31.55071189443465,35.16350130017298
STREAM,1.7276665544161438,1.7225537185984094,1.7242958365323968,1.7276246008686786,1.7276805804358115
SPEC-RATE,12.847883084747425,14.186524442477971,14.385397844716884,14.357746199608947,14.572328831455092
SPEC-MIX,13.291581840334336,14.581938866570688,14.700330146581388,14.47035809299238,14.796653090688052
GAP,19.262681553334875,20.154640385724605,20.93811713324814,23.529023630668526,24.10199151687761
GMEAN,14.647665937248691,15.634106821849896,16.008608438071953,16.928652657256006,17.289766580809413
