,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1.1453964106528776,1.1244013532455488,1.116928351472665,1.0006424613363267,0.9998666045485741,0.999994397945699
omnetpp,1.6216248798075816,1.5725327486312406,1.2957038835125196,0.9983459232643949,0.9988747647920143,0.9991684826974558
soplex,1.0162321779821095,1.0049583279326735,1.001372879362776,1.0009449467703428,0.9985958568367709,0.9988180280158603
mcf,1.1066536873243091,1.0874833189383262,1.0712055042897468,0.9992749082251429,0.9996505974439175,0.9987573318856757
lbm,1.0139306570789546,1.0138696134063614,1.0138696134063614,1.0000757498628583,0.9974696618730545,1.0011977401188623
libquantum,1.0157040580645478,1.0090843738416777,1.0001283636451606,0.9986689030830647,0.999473603985777,0.999437726744167
milc,1.0917284698386187,1.090702430495631,1.0910627136244304,0.998810853594922,0.9989340156732986,0.9997106955855637
leslie3d,1.0137560517350344,1.007318875856759,1.0049711227009503,1.000270234041887,1.0001640834302268,1.0007793237100535
sphinx3,1.0131120651107577,1.004447701925653,1.0044988188275434,1.0034928111421317,1.0019723973561256,1.0024768989530457
astar,1.8209104156522662,1.6713613472404674,1.4020429091101572,1.0005420171080401,1.000827955506872,0.9994267585983607
h264ref,1.0012220923967678,1.0012220923967678,1.0012220923967678,0.9941843284537883,1.0048375683223347,1.0076967493630165
sjeng,2.2469368082095316,2.0132987851150963,1.6103261798467208,0.9995679193814136,0.9998605309395703,1.0000382856244316
cactusADM,1.0095329059772125,1.0087687569390396,1.0091332830278332,0.9963015069171628,1.0008382750162998,1.000242391361571
zeusmp,1.1263942757295327,1.098490452623528,1.0960570657909299,0.9995237728871871,0.9988182779051602,0.9979269206352602
bwaves,1.0154769786683246,1.0130418441724107,1.0137780318771985,1.0002194207724977,1.0004292803139507,0.9992024904054536
gcc,1.0778351813097684,1.040358345515173,1.0000850202831126,0.9967072089062468,1.0007808555569782,0.9985343574823724
bzip2,0.9978287167613905,0.9978287167613905,0.9978287167613905,1.004543251177828,1.0003575417079817,0.9998569833168073
xalancbmk,1.2173383774782922,1.197606828047807,1.0449809881521264,0.9995054163441449,0.9996759706885958,1.0015930643042288
mix1,,,,,,
mix2,1.1551021286786372,1.1738718795082632,1.1540188962176428,1.1332375927022882,1.110950603754104,1.1145677852508944
mix3,1.206823558228549,1.1403353929013025,1.0871478469784819,1.0561955437158217,1.0510592607220415,1.0503987768458514
bfs.road,1.1441531123557263,1.0196896723466944,1.0021896529638958,1.000691390567546,0.9997946205372,0.9996897970222167
bfs.web,1.0913406618952757,1.0852574836379036,1.0770776438581289,1.0001180188484906,1.0005885406057342,0.9997563092036288
bfs.kron,1.8161842053515365,1.7895125216008103,1.7023627461112607,0.999988718127454,0.9997082852703278,0.9996279513756356
bfs.urand,2.0086563339495735,1.9719627321763225,1.8676260312963036,1.0006121588532264,0.9996238898814791,0.9999628111034962
bfs.twitter,1.6342699448014426,1.5982155482520577,1.447673538622456,1.0000998416683025,0.9978299881000086,0.9979776985716113
bc.road,1.216687949848457,1.0980155569095271,1.0053625804928896,1.0002587722820755,0.9997851042964103,1.000689459468173
bc.web,1.1519523244525942,1.1303409021546724,1.1200958812133193,1.001065881021005,1.0027536479093346,1.0031384855166439
bc.kron,2.0259832628503402,2.010297471631129,1.9355605528269964,0.9999137494677046,0.9991103566299545,0.9995945008868323
bc.urand,2.034700141867014,2.0170383872295563,1.9512788749814305,0.9996097729080531,0.999523337456287,0.999484445526989
bc.twitter,2.2023894891407223,2.1498645909277228,2.010915147822268,0.9996929062468044,1.0000002276851936,0.999479658973117
pr.road,1.0156795912250072,1.0156795912250072,1.0156795912250072,0.9980793714466951,0.9999086707560113,0.9983652348079104
pr.web,1.028730033050541,1.0221732198550613,1.0184059862718482,1.001637101377575,1.002240231190497,1.001930223856355
pr.kron,1.8814881871457247,,,1.0001465726268286,,0.9995886615801355
pr.urand,,,,0.9993172673443381,,0.9994246452331897
pr.twitter,1.643177787279113,1.471519171480382,1.2144141125626313,0.9997810060301012,0.9996096284190223,1.0003597072202375
rand,2.3833744176234037,2.3391750727818983,2.251170466618312,0.9998147421802489,,0.9999431514169153
seq,1.0223432302173616,1.0223432302173616,1.0223432302173616,,0.9998184499165312,0.9998908699734302
gmean,1.2891145759712486,1.2384897964934758,1.188428787874303,1.0045404401706581,1.0041323732402507,1.0042550007515305
