,ropr_entry_num64,ropr_entry_num128,ropr_entry_num256,ropr_entry_num512
mix1,,,,
mix2,,0.9114551146642097,0.914716297334142,0.9191766682753786
mix3,,0.8224456719282508,0.8575099222212677,0.8767741592488174
mix4,,,,
GemsFDTD,,0.8817189949813402,0.8820450863718301,0.8825012767528944
omnetpp,,0.36970693191759996,0.3698959164363243,0.3700638865440788
soplex,,0.9525828021566597,0.9614030930468256,0.9685170772889727
mcf,,0.37158481552488015,0.5725212630575898,0.7813030048056938
lbm,,0.9843739850815896,0.9843802710278735,0.9844687755163474
libquantum,,0.9843687881216457,0.9843687881216457,0.9843687881216457
milc,,0.9086319656709,0.9086807003173141,0.9086680460819443
leslie3d,,0.9761489596032754,0.9813671005327381,0.9830900930864037
sphinx3,,0.9671750778856937,0.9682225735738944,0.9690193013139882
astar,,0.4221264251894192,0.5000954366475505,0.5601887069286188
h264ref,,0.9462471392070363,0.96245010115782,0.9914842185334239
sjeng,,0.10153298082338595,0.11338359895856848,0.13404345810432516
cactusADM,,0.9839693560184323,0.9840993850880833,0.9856131648007835
zeusmp,,0.9009169789493251,0.9016229768587998,0.9017040902697259
bwaves,,0.9843682389688931,0.9843717032150044,0.9843905757710721
gcc,,0.9023321805074245,0.9044104382080157,0.9075839819935501
bzip2,,0.7825767133877102,0.924315149445816,0.9963469953955075
xalancbmk,,0.7555522679223007,0.7588512273742424,0.7649619632939335
bfs.road,,0.7904362836054957,0.798498695491254,0.8033450383924835
bfs.web,,0.8712560060942075,0.8841285602822563,0.8946943492295993
bfs.kron,,0.33719101715724775,0.3372681805958859,0.33733896408130676
bfs.urand,,0.11765478143221511,0.12049849620737077,0.12450043725388588
bfs.twitter,,0.3843134426142927,0.38454869050445184,0.3859475144064656
bc.road,,0.7804683511217549,0.7955181810262564,0.8044607607094337
bc.web,,0.8101752423773945,0.831386850866789,0.8443928480898989
bc.kron,,0.08662454679540212,0.08749949583019881,0.08907859388838492
bc.urand,,0.06334366610008038,0.06534095458786926,0.06855209026638066
bc.twitter,,0.20153379362384313,0.20272679702965313,0.20481202650103028
pr.road,,0.9843772682893908,0.9843785139022855,0.9843785139022855
pr.web,,0.9229919619168184,0.9326377806082022,0.9446751631364638
pr.kron,,0.09989459292173963,0.10123636295233761,0.10348807252746674
pr.urand,,0.06115559159353713,0.06567793864881945,0.07026505229642267
pr.twitter,,0.1821084225715271,0.19194996128353484,0.21426916960983824
rand,,0.001950828770016249,0.003871714277226682,0.007774883799601598
seq,,0.9776787423423485,0.9776786977009428,0.977678346940828
