,Metadata Cache(256KB),Metadata Cache(512KB),Metadata Cache(1MB),Attache.RoPR(128KB),Attache.RoPR+LiPR(384KB),Ideal
GemsFDTD,1.3064012183488662,1.3283594154909868,1.3377125275652177,1.4245642263842382,1.4261121993109416,1.42724151184
omnetpp,0.7464064614432239,0.7725743441101358,0.9653133708225887,1.2939335196225576,1.3766719705143793,1.37667197051
soplex,1.2232402663665225,1.233392105074383,1.240092543073518,1.2307409267579787,1.2374231638597029,1.24173199591
mcf,1.1054951644005468,1.1156195901444317,1.1303401232213297,1.1618069655810848,1.1621913463015496,1.1933589277
lbm,0.9948863835422825,0.9957106860192492,0.9956955086876218,0.9986556537452774,1.0017840403520126,1.00178404035
libquantum,0.9954153713427372,0.9982205426002919,1.001868680735054,1.0024141683100039,1.0004683539565753,1.00241416831
milc,1.0245366658785968,1.0256742245365547,1.0242406573792213,1.025145787978685,1.0248324638311315,1.05009842742
leslie3d,1.0562066945738695,1.0582259357818025,1.0574823052806193,1.05437889847065,1.0621090021244919,1.06210900212
sphinx3,1.033832757149073,1.037735101422165,1.0394065441736655,1.03520878750555,1.0387285478582804,1.03940654417
astar,0.7926144469673032,0.8297146789991996,0.9155397820460519,1.0211230241594473,1.0204820651917321,1.04482920004
h264ref,1.0552671691577904,1.0552671691577904,1.0552671691577904,1.0645340716574099,1.0645173147833964,1.06453407166
sjeng,0.9620559893267859,0.9718028299552495,0.9899251415880719,1.0120935477867425,1.0127192699122702,1.01289917988
cactusADM,1.1499541760965533,1.1545272500473192,1.148934784798306,1.1582128746193159,1.160812543112194,1.16303022315
zeusmp,1.1330507120859088,1.148938868744064,1.152801045407794,1.1768869422242467,1.1799947107095121,1.17999471071
bwaves,1.2643703246446762,1.2734665921441786,1.2725539636857839,1.2573965800816675,1.2672333860559901,1.28794481647
gcc,1.1669448537370095,1.1993684915479073,1.2405521002213853,1.1920150492497605,1.2256628574120376,1.24315669793
bzip2,1.0292949546156673,1.0292949546156673,1.0292949546156673,1.0235767654118555,1.0296206491208202,1.02962064912
xalancbmk,1.0285834560680545,1.0426569375327979,1.1174788400477267,1.089288006805813,1.0917675202158452,1.13988674299
mix1,1.01671126925079,1.01671126925079,1.0251189457770664,1.0258697120464209,1.054767107413124,1.05476710741
mix2,0.9544780579927088,0.9811124185972953,1.0003460149139003,1.0057666985296434,1.0133891328072968,1.01859951375
bfs.road,1.080257133309546,1.1540063937013751,1.1684043836657394,1.145157500561285,1.1506910557281549,1.16892858813
bfs.web,1.0674894628859397,1.0713421348491718,1.0755945044951352,1.0827579335449484,1.0781916744398927,1.10820549416
bfs.kron,0.7711974076092051,0.7869427137105773,0.8423360423560519,1.4213486711097862,1.4254015333580388,1.42878429345
bfs.urand,0.6781770331323488,0.6869907209736184,0.7315106700587914,1.1026017071021639,1.0980808502133041,1.14610383088
bfs.twitter,0.7869030960600389,0.8092148054269109,0.913718173204792,1.4088021785185032,1.4414496184528574,1.44463274297
bc.road,1.236511652380528,1.37117113147043,1.4732591413058689,1.478615466687206,1.4787438926381957,1.47874389264
bc.web,1.1579440033563793,1.1789603148101808,1.1776821312686012,1.2307509360121591,1.228916998529557,1.23075093601
bc.kron,0.6489332429208728,0.6546474025384676,0.6896956722396039,1.5798588193215746,1.579441313559432,1.57985881932
bc.urand,0.6415642097636086,0.6479176527143684,0.6774890553240251,1.5543208401920947,1.5547363708973534,1.5549665567
bc.twitter,0.7199984677724323,0.7404412124821148,0.8024562404428582,1.531444574984288,1.533616701892715,1.53361670189
pr.road,1.0644207424790932,1.0644207424790932,1.0644207424790932,1.079559477388735,1.0709253195289428,1.08013325841
pr.web,1.0636542472371204,1.0635335178555163,1.066213342698229,1.0655531395791247,1.0648565899189337,1.07484872144
pr.kron,0.5963503028708468,0.6032283301796335,0.6204251385478747,1.0068388163432775,1.005799330842137,1.09508058356
pr.urand,0.5875795095888661,0.5953211347671028,0.6101301441986509,1.001463630619806,1.0010235142470831,1.00168123188
pr.twitter,0.6722424342800001,0.7364103505032839,0.8704402642941553,1.0825032084019166,1.0815494267293404,1.08626452595
RAND,0.5758896523902794,0.5870134274767667,0.6102485523545279,1.19139784066186,1.206722637713099,1.33965470084
STREAM,0.9966804356554514,0.9966804356554514,0.9966804356554514,1.0000348481137773,0.9999857958807425,1.00003484811
SPEC-RATE,1.0496610893936846,1.0614374259760777,1.0894671312202067,1.1176016250927043,1.1256421027785193,1.13260982313
SPEC-MIX,0.9851033437227772,0.9987532490008573,1.0126567297069757,1.0157684743121753,1.0338711352460939,1.03451029087
GAP,0.8235040315263473,0.8465670389127891,0.8893180657181661,1.234335361428885,1.235259040928635,1.25154313596
GMEAN,0.9327132111956861,0.9495194059041282,0.9824507646407472,1.1532434810723027,1.1594269359007385,1.17205100804
