,No Global,PaPR (192KB),PaPR (352KB),PaPR (640KB),PaPR (192KB)+LiPR (176KB),Ideal
GemsFDTD,1.3315356299777776,1.4194732145611735,1.4242714839950144,1.4245642263842382,1.42827111198,1.4272415118390034
omnetpp,1.379782161079419,1.3130939178471446,1.296841281078015,1.2939335196225576,1.38413606618,1.3628046143994765
soplex,1.222698754152961,1.2306242995916226,1.2307409267579787,1.2307409267579787,1.23786891118,1.2417319959069733
mcf,1.1561161874333308,1.152284600302619,1.1597378672180159,1.1618069655810848,1.16180696558,1.1933589276985748
lbm,1.0017840403520126,0.9952757829371631,0.9952757829371631,0.9986556537452774,0.998655653745,0.9977462644251304
libquantum,1.0003466528169065,1.0024141683100039,1.0024141683100039,1.0024141683100039,1.00241416831,1.0010886201471076
milc,1.0265674344091391,1.0229943982928575,1.0238865228483227,1.025145787978685,1.02514578798,1.0500984274197487
leslie3d,1.0604757532402154,1.05956765873946,1.0583315696716238,1.05437889847065,1.05437889847,1.0570100976480108
sphinx3,1.0426264773764553,1.03520878750555,1.03520878750555,1.03520878750555,1.03792762601,1.038708250365295
astar,1.0204820651917321,1.0249339599384504,1.0294880877512218,1.0211230241594473,1.02112302416,1.04482920004137
h264ref,1.0715369990310077,1.0645340716574099,1.0645340716574099,1.0645340716574099,1.06453407166,1.045154372343505
sjeng,1.013301455669183,1.0135707202142972,1.01256288940647,1.0120935477867425,1.01209354779,1.0128991798776044
cactusADM,1.146509392335906,1.1553407089959375,1.1575424006705677,1.1582128746193159,1.16063825127,1.163030223150898
zeusmp,1.1848053703755874,1.1762690052822307,1.1766411017736045,1.1768869422242467,1.18230788397,1.1799096391942387
bwaves,1.2254478418068122,1.2566599080789835,1.2572556733754492,1.2573965800816675,1.28508973285,1.2879448164682115
gcc,1.1867319701064987,1.1912178282913597,1.1920150492497605,1.1920150492497605,1.24310696026,1.2431566979317576
bzip2,1.0296206491208202,1.0235767654118555,1.0235767654118555,1.0235767654118555,1.02376145939,1.023066591841006
xalancbmk,1.0889476599804448,1.0809218104089109,1.087749770147618,1.089288006805813,1.08928800681,1.1398867429866162
mix1,1.0447686620906114,1.0266800976314858,1.0258697120464209,1.0258697120464209,1.06571883833,1.0506695982727297
mix2,1.0055754802692836,1.0031104101331556,1.0009873334713792,1.0057666985296434,1.01209369507,1.0185995137512756
bfs.road,1.1463381027148583,1.1495188285844113,1.1457425063212143,1.145157500561285,1.14515750056,1.1689285881280378
bfs.web,1.0725558971505633,1.0809741695160326,1.079237845651039,1.0827579335449484,1.08275793354,1.1082054941626043
bfs.kron,1.1422631445450104,1.4257041986794987,1.4248543104215208,1.4213486711097862,1.42535063367,1.428784293445182
bfs.urand,1.0980808502133041,1.0970740651930082,1.0966601411358443,1.1026017071021639,1.1026017071,1.1461038308762108
bfs.twitter,1.400548904979373,1.4129357524360677,1.417750070683848,1.4088021785185032,1.44140826793,1.4446327429744252
bc.road,1.475559190571545,1.4765827398175835,1.478366598010704,1.478615466687206,1.47997622199,1.4756657518572893
bc.web,1.2170511808893096,1.2335406288988975,1.2315173853106332,1.2307509360121591,1.23075093601,1.229260142344118
bc.kron,1.136452528956916,1.579607818480989,1.5793548290511672,1.5798588193215746,1.57985881932,1.5791151085544928
bc.urand,1.0981668832325728,1.5545727752053202,1.5542800727496846,1.5543208401920947,1.55432084019,1.5549665566998665
bc.twitter,1.2480629200657036,1.5311940768179695,1.5320560763932263,1.531444574984288,1.53187320813,1.533304606540143
pr.road,1.0709829343339583,1.079262020649302,1.079262020649302,1.079559477388735,1.07955947739,1.0801332584114056
pr.web,1.057475118837139,1.0663230324374542,1.0673067691189801,1.0655531395791247,1.06555313958,1.0748487214436218
pr.kron,1.005799330842137,1.0000101889062536,1.0024366948041716,1.0068388163432775,1.00683881634,1.0950805835629753
pr.urand,1.0010235142470831,1.001351071331833,1.0010411316831758,1.001463630619806,1.00146363062,1.0016812318839852
pr.twitter,1.0816666253763993,1.0299595201772707,1.0744485772902295,1.0825032084019166,1.0825032084,1.0862645259545047
RAND,1.1030544560205542,1.200517168081627,1.1884875743348298,1.19139784066186,1.20201449821,1.3396547008400261
STREAM,1.0000333160550234,1.0000348481137773,1.0000348481137773,1.0000348481137773,1.00003484811,1.000008918483256
SPEC-RATE,1.1163395274502759,1.1173174756605737,1.1179548602044715,1.1176016250927043,1.11850709357,1.1326098231341255
SPEC-MIX,1.0249847555705711,1.0148268294692784,1.0133521537700496,1.0157684743121753,1.03856021346,1.034510290868994
GAP,1.1432739786775752,1.2300322828848935,1.2335333440014744,1.234335361428885,1.23433536143,1.2515431359594331
GMEAN,1.116432478742988,1.1516339734496872,1.152840324463595,1.1532434810723027,1.15324348107,1.1720510080416358
