GemsFDTD,122432203
omnetpp,88550614
soplex,166552337
mcf,
lbm,126274885
libquantum,113595531
milc,111466032
leslie3d,127814636
sphinx3,72153172
astar,26943475
wrf,1662661
h264ref,8007215
sjeng,908758
cactusADM,41578752
zeusmp,21114747
bwaves,103008117
gcc,208688423
bzip2,91612822
xalancbmk,122138379
bfs.road,
bfs.web,37766767
bfs.kron,58106254
bfs.urand,
bfs.twitter,68631686
bc.road,
bc.web,18424941
bc.kron,
bc.urand,
bc.twitter,
pr.road,74046639
pr.web,82116825
pr.kron,
pr.urand,
pr.twitter,103531829
